Values length for AUDIO_160_0.1_0.02_16384_4F-SEGCTE_10_FRAMES/mega-2014_04_10T21_15_19.bin: 6905280
Values length for AUDIO_160_0.1_0.02_16384_4F-SEGCTE_10_FRAMES/mega-2014_04_11T21_13_04.bin: 6905120
Files loaded to memory
Matrix built:
Dataset size: 43158
Query size: 43157
Building ground through
Ground through built, elapsed time: 197.95
Building indexes
Finishing indexation, elapsed time: 8.7354
KD-Tree
Nodes	Precision(%)	Time(s)	Time/vec(ms)	Mean dist
-----	------------	-------	------------	---------
1	0.0429826	0.0768387	0.00178044	2.76366
2	0.0683319	0.09858	0.00228422	2.08799
4	0.103552	0.140725	0.00326077	1.72445
8	0.150034	0.212567	0.00492544	1.47429
16	0.207985	0.39498	0.00915217	1.32083
32	0.281947	0.634844	0.0147101	1.21645
64	0.370809	1.10593	0.0256257	1.14586
128	0.473874	2.13497	0.0494697	1.09644
256	0.587529	4.08647	0.0946886	1.0611
512	0.70605	7.78488	0.180385	1.03661
1024	0.812522	15.9115	0.368689	1.01973
2048	0.896541	33.2377	0.770157	1.00962
3072	0.934727	52.8005	1.22345	1.00565
4608	0.964061	78.4404	1.81756	1.00295
5760	0.974604	94.5354	2.1905	1.00204
7200	0.983015	121.946	2.82564	1.00138
9000	0.989388	149.528	3.46473	1.00091
11250	0.993744	188.566	4.36931	1.00059
Random 5 KD-Tree
Nodes	Precision(%)	Time(s)	Time/vec(ms)	Mean dist
-----	------------	-------	------------	---------
1	0.0442107	0.197096	0.00456695	2.7203
2	0.0775077	0.209408	0.00485224	1.99726
4	0.130732	0.237887	0.00551213	1.56438
8	0.196191	0.319231	0.00739697	1.34794
16	0.275853	0.527796	0.0122297	1.224
32	0.375605	0.898241	0.0208133	1.141
64	0.496235	1.59705	0.0370057	1.08569
128	0.625206	2.94041	0.068133	1.04978
256	0.751095	5.24365	0.121502	1.02672
512	0.855018	9.95665	0.230708	1.01252
768	0.901244	14.9486	0.346378	1.00779
1152	0.937739	24.6419	0.570982	1.0046
1728	0.963529	37.2829	0.863889	1.00252
2160	0.974303	40.8252	0.945968	1.00179
2700	0.981695	51.536	1.19415	1.0013
3375	0.987488	65.1346	1.50925	1.00089
4218	0.992261	83.7922	1.94157	1.00054
Random 20 KD-Tree
Nodes	Precision(%)	Time(s)	Time/vec(ms)	Mean dist
-----	------------	-------	------------	---------
1	0.0434229	0.621769	0.0144071	2.74425
2	0.0774845	0.653645	0.0151457	1.99329
4	0.132748	0.667397	0.0154644	1.56331
8	0.209537	0.689806	0.0159836	1.32559
16	0.319091	0.781163	0.0181005	1.18183
32	0.440369	1.16932	0.0270946	1.10684
64	0.57548	1.96445	0.0455188	1.06017
128	0.709433	3.51204	0.0813782	1.03159
256	0.829993	6.56997	0.152234	1.01474
512	0.916051	12.4717	0.288984	1.00587
768	0.951433	18.8076	0.435795	1.00311
960	0.965243	23.4305	0.542914	1.00219
1200	0.976041	30.0642	0.696625	1.00149
1500	0.984012	37.4454	0.867654	1.001
1875	0.989805	45.7506	1.0601	1.00065
2343	0.993466	61.4107	1.42296	1.0004
KMeans 5
Nodes	Precision(%)	Time(s)	Time/vec(ms)	Mean dist
-----	------------	-------	------------	---------
1	0.190769	0.305316	0.00707454	1.45492
2	0.221725	0.38815	0.00899391	1.40743
4	0.282944	0.52657	0.0122013	1.31088
8	0.380101	0.873331	0.0202361	1.20924
16	0.491299	1.45741	0.03377	1.14143
32	0.612415	2.60273	0.0603085	1.09092
64	0.72417	4.67523	0.108331	1.05516
128	0.819334	8.46169	0.196068	1.03206
256	0.899182	16.507	0.382487	1.01502
384	0.936094	24.196	0.560651	1.00787
576	0.965591	36.2079	0.83898	1.00401
720	0.97757	44.0704	1.02116	1.00251
900	0.986051	56.0487	1.29872	1.0015
1125	0.991195	70.9069	1.643	1.00096
KMeans 4
Nodes	Precision(%)	Time(s)	Time/vec(ms)	Mean dist
-----	------------	-------	------------	---------
1	0.253887	0.479418	0.0111087	1.35626
2	0.263781	0.508863	0.011791	1.34806
4	0.286999	0.523362	0.0121269	1.32104
8	0.326112	0.608881	0.0141085	1.28356
16	0.396598	0.762652	0.0176716	1.21949
32	0.499015	1.08232	0.0250786	1.15241
64	0.614037	1.65293	0.0383004	1.09845
128	0.728202	2.73261	0.063318	1.05957
256	0.838821	4.91327	0.113847	1.02779
512	0.923628	8.90622	0.206368	1.01116
768	0.954283	13.0599	0.302613	1.00605
960	0.967051	15.4129	0.357135	1.00426
1200	0.977037	19.0246	0.440823	1.00273
1500	0.983873	24.1794	0.560265	1.00188
1875	0.98955	30.2951	0.701975	1.00117
2343	0.993721	37.5146	0.869258	1.00074
Test finished
