Values length for EHD_4x4_64x64_5_K10_4F-SEGCTE_10_FRAMES/mega-2014_04_10T21_15_19.bin: 6905280
Values length for EHD_4x4_64x64_5_K10_4F-SEGCTE_10_FRAMES/mega-2014_04_11T21_13_04.bin: 6905120
Files loaded to memory
Matrix built:
Dataset size: 43158
Query size: 43157
Building ground through
Ground through built, elapsed time: 197.351
Building indexes
Finishing indexation, elapsed time: 8.69755
KD-Tree
Nodes	Precision(%)	Time(s)	Time/vec(ms)	Mean dist
-----	------------	-------	------------	---------
1	0.0524596	0.06835	0.00158375	2.44019
2	0.0845981	0.0860373	0.00199359	1.81451
4	0.120861	0.115185	0.00266899	1.5067
8	0.16433	0.176637	0.00409288	1.32878
16	0.219895	0.276489	0.00640659	1.22181
32	0.290938	0.464376	0.0107602	1.14786
64	0.379568	0.839076	0.0194424	1.09655
128	0.480154	1.62643	0.0376864	1.06209
256	0.601849	3.07885	0.0713406	1.03606
512	0.727205	5.91519	0.137062	1.01898
1024	0.84225	11.9818	0.277633	1.00854
2048	0.928331	22.631	0.524387	1.00313
3072	0.961814	35.0426	0.81198	1.00155
3840	0.974651	44.3119	1.02676	1.00099
4800	0.984614	60.1505	1.39376	1.00062
6000	0.991241	71.4964	1.65666	1.00036
Random 5 KD-Tree
Nodes	Precision(%)	Time(s)	Time/vec(ms)	Mean dist
-----	------------	-------	------------	---------
1	0.0560048	0.160801	0.00372594	2.42832
2	0.0965544	0.170098	0.00394137	1.71014
4	0.148968	0.187404	0.00434237	1.39137
8	0.206131	0.251339	0.00582383	1.2466
16	0.273861	0.387787	0.0089855	1.16301
32	0.356628	0.644594	0.014936	1.10538
64	0.460991	1.16174	0.026919	1.06529
128	0.586463	2.18091	0.0505344	1.0367
256	0.717149	4.02157	0.0931847	1.01887
512	0.835716	7.88867	0.18279	1.00872
1024	0.92613	15.1421	0.350861	1.00304
1536	0.959798	22.971	0.532267	1.00151
1920	0.973145	28.6443	0.663722	1.00096
2400	0.982483	36.4202	0.8439	1.00061
3000	0.989249	46.4548	1.07641	1.00036
3750	0.994138	59.6687	1.3826	1.00019
Random 20 KD-Tree
Nodes	Precision(%)	Time(s)	Time/vec(ms)	Mean dist
-----	------------	-------	------------	---------
1	0.0530389	0.531729	0.0123208	2.4791
2	0.0907616	0.540425	0.0125223	1.73746
4	0.14431	0.590395	0.0136802	1.3936
8	0.21102	0.594536	0.0137761	1.23257
16	0.292212	0.683241	0.0158315	1.14064
32	0.392242	0.966536	0.0223958	1.08678
64	0.511528	1.67258	0.0387557	1.05151
128	0.645226	2.89288	0.0670316	1.02801
256	0.773803	5.34525	0.123856	1.01369
512	0.882591	10.4501	0.242141	1.00541
768	0.92905	15.7483	0.364907	1.0027
1152	0.962694	24.0818	0.558004	1.00123
1440	0.974697	30.1475	0.698555	1.00076
1800	0.984383	38.5646	0.89359	1.00045
2250	0.990801	48.8459	1.13182	1.00023
KMeans 5
Nodes	Precision(%)	Time(s)	Time/vec(ms)	Mean dist
-----	------------	-------	------------	---------
1	0.228677	0.272006	0.00630271	1.33473
2	0.26487	0.381111	0.0088308	1.29187
4	0.327085	0.502942	0.0116538	1.22238
8	0.425678	0.884628	0.0204979	1.14892
16	0.53982	1.61768	0.0374835	1.09851
32	0.661515	2.99877	0.0694851	1.06702
64	0.779202	5.05809	0.117202	1.02855
128	0.884723	8.76841	0.203175	1.011
192	0.930301	12.1102	0.280609	1.00586
288	0.964061	17.393	0.403017	1.00241
360	0.977895	21.5581	0.499526	1.00139
450	0.987209	27.1582	0.629289	1.00073
562	0.993628	34.8783	0.808172	1.00029
KMeans 4
Nodes	Precision(%)	Time(s)	Time/vec(ms)	Mean dist
-----	------------	-------	------------	---------
1	0.296499	0.426921	0.00989228	1.22577
2	0.309173	0.450956	0.0104492	1.21497
4	0.326645	0.476016	0.0110299	1.20077
8	0.360104	0.543834	0.0126013	1.17291
16	0.428204	0.707248	0.0163878	1.12594
32	0.525871	1.01612	0.0235448	1.08738
64	0.639757	1.68648	0.0390778	1.05433
128	0.753528	2.92439	0.0677616	1.02995
256	0.85986	5.16395	0.119655	1.01161
384	0.911625	7.11199	0.164793	1.00638
576	0.953101	10.2484	0.237468	1.00298
720	0.968394	12.9067	0.299064	1.00191
900	0.979378	14.9026	0.345311	1.00118
1125	0.986375	18.5355	0.429491	1.00074
1406	0.992539	22.2084	0.514595	1.00034
Test finished
