Values length for IMGRAY_16x9_1U-SEGCTE_10_FRAMES/mega-2014_04_10T21_15_19.bin: 6214752
Values length for IMGRAY_16x9_1U-SEGCTE_10_FRAMES/mega-2014_04_11T21_13_04.bin: 6214608
Files loaded to memory
Matrix built:
Dataset size: 43158
Query size: 43157
Building ground through
Ground through built, elapsed time: 193.042
Building indexes
Finishing indexation, elapsed time: 10.3819
KD-Tree
Nodes	Precision(%)	Time(s)	Time/vec(ms)	Mean dist
-----	------------	-------	------------	---------
1	0.0711356	0.0649633	0.00150528	6.40714
2	0.0898811	0.0835993	0.0019371	2.70845
4	0.106703	0.115851	0.0026844	1.63806
8	0.124337	0.172481	0.00399659	1.43285
16	0.149014	0.276471	0.00640617	1.30687
32	0.183539	0.470274	0.0108968	1.23203
64	0.225386	0.850846	0.0197151	1.17929
128	0.275065	1.5801	0.0366128	1.13995
256	0.334013	2.9671	0.0687513	1.10934
512	0.405844	5.82927	0.135071	1.08404
1024	0.48977	11.1622	0.258642	1.06174
2048	0.576639	21.7701	0.50444	1.04195
4096	0.669092	42.7453	0.990461	1.02717
8192	0.772273	88.1823	2.04329	1.01448
16384	0.889242	187.741	4.35019	1.00537
24576	0.952569	299.139	6.93142	1.00216
30720	0.977709	381.238	8.83374	1.00081
38400	0.995458	473.844	10.9795	1.0001
Random 5 KD-Tree
Nodes	Precision(%)	Time(s)	Time/vec(ms)	Mean dist
-----	------------	-------	------------	---------
1	0.0715759	0.161084	0.00373251	6.46653
2	0.101629	0.168185	0.00389705	1.93889
4	0.130964	0.17959	0.00416132	1.42092
8	0.158607	0.246756	0.00571764	1.28154
16	0.191834	0.384439	0.00890792	1.19831
32	0.234284	0.638197	0.0147878	1.14335
64	0.28818	1.11081	0.0257387	1.1038
128	0.359316	2.0112	0.046602	1.07413
256	0.443914	3.76174	0.0871641	1.05164
512	0.543921	7.18475	0.166479	1.03448
1024	0.6503	14.005	0.324513	1.02193
2048	0.757189	27.8789	0.645987	1.01216
4096	0.846166	57.7495	1.33813	1.00641
8192	0.917418	131.525	3.0476	1.00307
12288	0.948282	218.779	5.06938	1.00174
18432	0.973909	375.948	8.71118	1.00068
23040	0.985796	507.472	11.7587	1.00034
28800	0.993327	729.314	16.8991	1.00014
Random 20 KD-Tree
Nodes	Precision(%)	Time(s)	Time/vec(ms)	Mean dist
-----	------------	-------	------------	---------
1	0.0704637	0.561891	0.0130197	8.03214
2	0.104525	0.570319	0.013215	1.8736
4	0.137567	0.584998	0.0135551	1.43979
8	0.17441	0.614641	0.014242	1.27012
16	0.229001	0.66978	0.0155196	1.16191
32	0.287462	0.960275	0.0222507	1.11097
64	0.35299	1.57724	0.0365466	1.07729
128	0.433255	2.75282	0.0637863	1.05285
256	0.533355	5.01697	0.116249	1.03424
512	0.642167	9.38814	0.217535	1.02122
1024	0.750307	18.1389	0.4203	1.01233
2048	0.847487	36.29	0.840882	1.00579
4096	0.922168	78.6272	1.82189	1.00229
6144	0.952522	129.477	3.00013	1.00126
7680	0.964733	185.846	4.30628	1.00079
9600	0.976806	242.923	5.62881	1.00045
12000	0.984406	340.976	7.90083	1.00028
15000	0.989967	460.079	10.6606	1.00015
18750	0.993999	637.355	14.7683	1.00006
KMeans 5
Nodes	Precision(%)	Time(s)	Time/vec(ms)	Mean dist
-----	------------	-------	------------	---------
1	0.233612	0.431872	0.010007	2.02563
2	0.260352	0.689208	0.0159698	1.9798
4	0.307621	1.0399	0.0240957	1.30959
8	0.399564	1.82394	0.0422629	1.13932
16	0.524457	3.41266	0.0790754	1.06284
32	0.668814	5.73088	0.132791	1.02976
64	0.796673	9.21895	0.213614	1.01392
128	0.892022	15.3865	0.356525	1.00568
192	0.931599	21.3702	0.495173	1.00314
288	0.9623	29.8553	0.691785	1.00168
360	0.974349	35.7499	0.828369	1.00112
450	0.983015	44.9924	1.04253	1.00079
562	0.988924	57.7786	1.3388	1.00045
702	0.992701	74.035	1.71548	1.00026
KMeans 4
Nodes	Precision(%)	Time(s)	Time/vec(ms)	Mean dist
-----	------------	-------	------------	---------
1	0.272123	0.630366	0.0146063	1.40246
2	0.28343	0.677454	0.0156974	1.38915
4	0.299696	0.699145	0.0162	1.36578
8	0.329402	0.810145	0.018772	1.33125
16	0.385708	1.0495	0.0243182	1.23988
32	0.489538	1.54508	0.0358013	1.16093
64	0.62414	2.51639	0.0583079	1.08183
128	0.756378	4.12519	0.0955856	1.01645
256	0.870635	7.13017	0.165215	1.0063
384	0.920685	10.0531	0.232942	1.00329
576	0.954098	14.3217	0.331851	1.00176
720	0.967027	17.2753	0.400289	1.00128
900	0.976713	21.6166	0.500882	1.00093
1125	0.983363	26.6104	0.616595	1.00061
1406	0.987673	32.2429	0.747108	1.00043
1757	0.991102	38.7439	0.897743	1.00027
Test finished
