Values length for OMD_16x9-SEGCTE_10_FRAMES/mega-2014_04_10T21_15_19.bin: 6214752
Values length for OMD_16x9-SEGCTE_10_FRAMES/mega-2014_04_11T21_13_04.bin: 6214608
Files loaded to memory
Matrix built:
Dataset size: 43158
Query size: 43157
Building ground through
Ground through built, elapsed time: 193.641
Building indexes
Finishing indexation, elapsed time: 9.31266
KD-Tree
Nodes	Precision(%)	Time(s)	Time/vec(ms)	Mean dist
-----	------------	-------	------------	---------
1	0.0750052	0.065279	0.00151259	inf
2	0.0879811	0.0831237	0.00192608	inf
4	0.100725	0.116333	0.00269559	inf
8	0.111569	0.170174	0.00394314	1.43633
16	0.123503	0.27447	0.0063598	1.37647
32	0.13766	0.491405	0.0113864	1.32608
64	0.15534	0.871186	0.0201864	1.2836
128	0.17909	1.52814	0.0354089	1.24584
256	0.21007	2.88569	0.0668648	1.2066
512	0.255555	5.6149	0.130104	1.16787
1024	0.318674	11.0163	0.25526	1.12549
2048	0.408207	21.4748	0.497598	1.08676
4096	0.527678	43.0338	0.997146	1.05108
8192	0.69027	87.3087	2.02305	1.02537
16384	0.859582	192.512	4.46074	1.00811
24576	0.940821	300.526	6.96355	1.00268
36864	0.990361	466.7	10.814	1.00019
Random 5 KD-Tree
Nodes	Precision(%)	Time(s)	Time/vec(ms)	Mean dist
-----	------------	-------	------------	---------
1	0.0707649	0.16045	0.00371782	inf
2	0.101096	0.167355	0.00387783	1.51773
4	0.136061	0.18108	0.00419583	1.34806
8	0.16148	0.249525	0.0057818	1.26044
16	0.183145	0.394233	0.00913486	1.2154
32	0.207359	0.658348	0.0152547	1.17911
64	0.237042	1.14808	0.0266025	1.14711
128	0.276873	2.06623	0.047877	1.12081
256	0.326853	3.98783	0.0924028	1.09688
512	0.393864	7.41106	0.171723	1.07581
1024	0.47932	14.1974	0.328971	1.05413
2048	0.582663	27.6259	0.640125	1.0359
4096	0.706351	54.8314	1.27051	1.02049
8192	0.829182	114.996	2.66459	1.00941
16384	0.940612	293.077	6.79095	1.00229
24576	0.979609	523.7	12.1348	1.00056
30720	0.990199	733.011	16.9848	1.00011
Random 20 KD-Tree
Nodes	Precision(%)	Time(s)	Time/vec(ms)	Mean dist
-----	------------	-------	------------	---------
1	0.0703246	0.572867	0.013274	2.61221
2	0.0992886	0.569987	0.0132073	1.49951
4	0.134231	0.583466	0.0135196	1.33477
8	0.184304	0.617093	0.0142988	1.22157
16	0.251106	0.671071	0.0155495	1.14975
32	0.303381	0.972259	0.0225284	1.11119
64	0.348657	1.61599	0.0374444	1.08746
128	0.401024	2.79884	0.0648526	1.06679
256	0.467757	5.03768	0.116729	1.04926
512	0.544941	9.29802	0.215446	1.03539
1024	0.633153	17.5413	0.406453	1.02469
2048	0.726974	34.1741	0.791855	1.016
4096	0.82128	70.6007	1.6359	1.00925
8192	0.907315	155.956	3.6137	1.00402
12288	0.947355	280.051	6.48912	1.0021
18432	0.97611	514.454	11.9205	1.00064
23040	0.985333	744.59	17.253	1.00025
28800	0.991427	1119.15	25.932	1.00005
KMeans 5
Nodes	Precision(%)	Time(s)	Time/vec(ms)	Mean dist
-----	------------	-------	------------	---------
1	0.162106	0.327442	0.00758723	2.09025
2	0.179901	0.481578	0.0111587	1.94929
4	0.213314	0.747138	0.0173121	1.35187
8	0.267697	1.20857	0.0280041	1.22823
16	0.34057	1.88712	0.0437268	1.15097
32	0.433487	3.04681	0.0705983	1.10836
64	0.546238	5.09799	0.118127	1.04366
128	0.66177	8.82846	0.204566	1.02409
256	0.771856	15.7397	0.364708	1.01249
512	0.869106	29.6439	0.686885	1.00579
768	0.916167	43.1998	1.00099	1.00315
1152	0.954816	63.5305	1.47208	1.00143
1440	0.968557	80.4989	1.86526	1.00092
1800	0.979725	100.706	2.33348	1.00051
2250	0.986816	108.148	2.50593	1.0003
2812	0.990361	131.859	3.05533	1.00017
KMeans 4
Nodes	Precision(%)	Time(s)	Time/vec(ms)	Mean dist
-----	------------	-------	------------	---------
1	0.223927	0.48122	0.0111505	1.36083
2	0.2306	0.501803	0.0116274	1.35722
4	0.241351	0.539472	0.0125002	1.33593
8	0.262877	0.618871	0.01434	1.30871
16	0.308756	0.811686	0.0188077	1.17728
32	0.379683	1.21013	0.0280403	1.13311
64	0.470978	1.96851	0.0456128	1.06095
128	0.578724	3.38712	0.0784838	1.03696
256	0.684292	5.90341	0.136789	1.02175
512	0.786825	10.3186	0.239094	1.01181
1024	0.873022	18.1173	0.4198	1.00562
1536	0.916815	24.9776	0.578762	1.00329
2304	0.951317	34.4585	0.798446	1.00172
2880	0.964919	41.0976	0.952282	1.00111
3600	0.976273	49.1694	1.13931	1.00067
4500	0.984545	59.0391	1.36801	1.00039
5625	0.98955	71.1692	1.64908	1.00023
7031	0.993025	86.0643	1.99421	1.00011
Test finished
